Workshop,Workshop Date,Workstream,Economy,Organization,Source Table,Workshop Key
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,United States of America,U.S. Department of State ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Viet Nam,Moit,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Chinese Taipei,"International Trade Administration, Ministry of Economic Affiairs",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Indonesia,APEC Secretariat ,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,National Foreign Trade Council,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Malaysia,"Ministry of Investment, Trade & Industry",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Thailand,Thai Industrial Standards Institute,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,Gangneung-Wonju National University,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,The Philippines,"Department of Economy, Planning, and Development",OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,People's Republic of China,Guangxi Institute of Standards and Technology,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Other,Council on economic policies,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Japan,"Ministry of Economy, Trade and Industry",OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,Kats,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Viet Nam,Commission for standards metrology and quality of Vietnam ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,Peru,National service of agrarian health Peru,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Republic of Korea,Korean Standards Association,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,United States of America,USTR,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Chile,Ministry of Foreign Affairs,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Thailand,TISI,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Other,Japanese Standards Association Group,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Other,The Boeing Company ,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Papua New Guinea,National Customs Service ,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,Viet Nam,"Commission for the Standards, metrology and Quality of Vietnam",OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,APEC Secretariat ,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,World Economic Forum,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Other,INCOSE SG Chapter,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,The Philippines,Tariff Commission,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Australia,PECC,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-28,recO6Wye9q46CaYxb,Australia,Delegate,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Peru,"National agrarian health service SENASA, Control Authority organic production",OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Viet Nam,Department of Customs,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Chinese Taipei,Office of Trade Negotiations,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Indonesia,National Standardization Agency of Indonesia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Republic of Korea,KATS,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Indonesia,National Standardization Agency,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Peru,Ministry of Foreign Trade and Tourism,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Viet Nam,STAMEQ,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,United States of America,Specialized,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-28,recO6Wye9q46CaYxb,Other,Stendard,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-28
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,People's Republic of China,CATARC,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,"Hong Kong, China","HONG KONG, CHINA",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,Unctad,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,The Philippines,Tariff Commission,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Indonesia,National Standardization Agency,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Japan,"Ministry of Economy, Trade and Industry",OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,World Trade Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Other,Unctad,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,The Philippines,Department of Information and Communications Technology,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,Malaysian Communications and Multimedia Commission,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,Department of Standards Malaysia,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Chile,Agricultural and livestock Chile,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,Consultores Internacoionales Ansley,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,United States of America,NIST,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Singapore,Ministry of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,United States of America,Dow,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Chinese Taipei,Office of Trade Negotiations,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Canada,Global Affairs Canada,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,The Philippines,Philippines Anti-Red Tape Authority,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Viet Nam,Commission for standards metrology and quality of Vietnam,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Viet Nam,"Commission for the Standards, Metrology and Quality",OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,The Philippines,DEPARTMANT OF TRADE AND INDUSTRY,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,AWS,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,Asian Development Bank,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Thailand,Thai Industrial Standards Institute,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Thailand,Thai Industrial Standards Institute,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Chile,Trade Consultants,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Chile,Ministry of Foreign Affairs,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Thailand,NBTC,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-28,recO6Wye9q46CaYxb,Malaysia,Malaysian Communications and Multimedia Commission,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Viet Nam,STAMEQ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Thailand,Tisi,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Other,World Customs Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Indonesia,National Standardization Agency of Indonesia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Papua New Guinea,PNG CUSTOMS,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,Access Partnership ,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Advancing Cloud Transformation,2025-07-30,recO6Wye9q46CaYxb,United States of America,Crowell & Moring International,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-30
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Other,World Trade Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Viet Nam,Ministry of Industry and Trade,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,"Hong Kong, China",Department of Trade and Industry,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Canada,SCC,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Papua New Guinea,NICTA,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Peru,MINCETUR,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,Korea Agency of Technology and Standards,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Thailand,The federation of Thai industries,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-28,recO6Wye9q46CaYxb,People's Republic of China,CATARC ,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-28
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Japan,"Ministry of Economy, Trade and Industry",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Other,Consultores internacionales Ansley,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Malaysia,"Ministry of Investment, Trade and Industry",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Australia,PECC,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,People's Republic of China,Samr,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Thailand,Thai Industrial Standards Institute,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Chile,Subrei,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,DSM MALAYSIA,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,World Trade Organization,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Indonesia,Statistics indonesia,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
