Assumption,Monitoring Tool,Economy,Workstream,Level,Date,Signal,Status,Confidence Index 1 (Percent),Confidence Index 2 (Count),Notes
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,rec8X4hhBa5cOnk18,Economy,2025-07-31,Republic of Korea attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,rec8X4hhBa5cOnk18,Economy,2025-07-31,Thailand attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,rec8X4hhBa5cOnk18,Economy,2025-07-31,The Philippines attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,rec8X4hhBa5cOnk18,Economy,2025-07-31,United States of America attended 1/5 rec8X4hhBa5cOnk18 workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),recIze3I0sDtjtxap,Workstream,2025-08-08,Average 14.0 economies represented (last 5 recIze3I0sDtjtxap workshops/dialogues),optimistic,66.7,14,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,recIze3I0sDtjtxap,Economy,2025-08-08,Australia attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Brunei Darussalam,recIze3I0sDtjtxap,Economy,2025-08-08,Brunei Darussalam attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,recIze3I0sDtjtxap,Economy,2025-08-08,Canada attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,recIze3I0sDtjtxap,Economy,2025-08-08,Chile attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,recIze3I0sDtjtxap,Economy,2025-08-08,Chinese Taipei attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,"Hong Kong, China",recIze3I0sDtjtxap,Economy,2025-08-08,"Hong Kong, China attended 1/5 recIze3I0sDtjtxap workshops/dialogues",pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,recIze3I0sDtjtxap,Economy,2025-08-08,Indonesia attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,recIze3I0sDtjtxap,Economy,2025-08-08,Japan attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,recIze3I0sDtjtxap,Economy,2025-08-08,Malaysia attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,New Zealand,recIze3I0sDtjtxap,Economy,2025-08-08,New Zealand attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,recIze3I0sDtjtxap,Economy,2025-08-08,Other attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,People's Republic of China,recIze3I0sDtjtxap,Economy,2025-08-08,People's Republic of China attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Peru,recIze3I0sDtjtxap,Economy,2025-08-08,Peru attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,recIze3I0sDtjtxap,Economy,2025-08-05,Republic of Korea attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,recIze3I0sDtjtxap,Economy,2025-08-05,Singapore attended 1/5 recIze3I0sDtjtxap workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recIze3I0sDtjtxap,Economy,2025-08-08,Thailand attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recIze3I0sDtjtxap,Economy,2025-08-08,The Philippines attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recIze3I0sDtjtxap,Economy,2025-08-08,United States of America attended 2/5 recIze3I0sDtjtxap workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),recO6Wye9q46CaYxb,Workstream,2025-07-30,Average 7.3 economies represented (last 5 recO6Wye9q46CaYxb workshops/dialogues),baseline,34.9,7,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Australia,recO6Wye9q46CaYxb,Economy,2025-07-28,Australia attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Canada,recO6Wye9q46CaYxb,Economy,2025-07-28,Canada attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,recO6Wye9q46CaYxb,Economy,2025-07-30,Chinese Taipei attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,recO6Wye9q46CaYxb,Economy,2025-07-27,Indonesia attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Malaysia,recO6Wye9q46CaYxb,Economy,2025-07-28,Malaysia attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,New Zealand,recO6Wye9q46CaYxb,Economy,2025-07-27,New Zealand attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,recO6Wye9q46CaYxb,Economy,2025-07-28,Other attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Papua New Guinea,recO6Wye9q46CaYxb,Economy,2025-07-27,Papua New Guinea attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,People's Republic of China,recO6Wye9q46CaYxb,Economy,2025-07-28,People's Republic of China attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Republic of Korea,recO6Wye9q46CaYxb,Economy,2025-07-27,Republic of Korea attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Singapore,recO6Wye9q46CaYxb,Economy,2025-07-27,Singapore attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Thailand,recO6Wye9q46CaYxb,Economy,2025-07-30,Thailand attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,The Philippines,recO6Wye9q46CaYxb,Economy,2025-07-27,The Philippines attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,United States of America,recO6Wye9q46CaYxb,Economy,2025-07-30,United States of America attended 2/5 recO6Wye9q46CaYxb workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Viet Nam,recO6Wye9q46CaYxb,Economy,2025-07-27,Viet Nam attended 1/5 recO6Wye9q46CaYxb workshops/dialogues,pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,APEC (aggregate),reckuD4pDTWtZesJN,Workstream,2025-08-02,Average 11.0 economies represented (last 5 reckuD4pDTWtZesJN workshops/dialogues),baseline,52.4,11,"CI1 = % economies represented. CI2 = average number of economies. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30. Covers both workshops and dialogues."
Stakeholder alignment with U.S. focus areas,Attendance,Chile,reckuD4pDTWtZesJN,Economy,2025-08-02,Chile attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Chinese Taipei,reckuD4pDTWtZesJN,Economy,2025-08-02,Chinese Taipei attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,"Hong Kong, China",reckuD4pDTWtZesJN,Economy,2025-08-02,"Hong Kong, China attended 1/5 reckuD4pDTWtZesJN workshops/dialogues",pessimistic,20.0,1,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Indonesia,reckuD4pDTWtZesJN,Economy,2025-08-02,Indonesia attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Japan,reckuD4pDTWtZesJN,Economy,2025-08-02,Japan attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Stakeholder alignment with U.S. focus areas,Attendance,Other,reckuD4pDTWtZesJN,Economy,2025-08-02,Other attended 2/5 reckuD4pDTWtZesJN workshops/dialogues,baseline,40.0,2,"CI1 = % of last 5 workshops/dialogues attended. CI2 = number of workshops/dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
